word,mean_ALL,sd_ALL,n_ALL,mean_M,sd_M,n_M,mean_F,sd_F,n_F
bliss,2.357142857,1.19301317,28,2.125,1.356202682,8,2.45,1.145931017,20
blister,1.974358974,1.158201407,39,2.388888889,1.377930626,18,1.619047619,0.804747816,21
blitz,2.933333333,1.337350271,30,3.181818182,1.60113596,11,2.789473684,1.182227059,19
blizzard,2.625,1.263635309,32,2.785714286,1.42389344,14,2.5,1.150447483,18
blob,3.545454545,1.148120995,33,3.461538462,1.198289379,13,3.6,1.142481141,20
block,2.153846154,1.046606237,26,2.428571429,1.016349858,14,1.833333333,1.029857301,12
blockade,2.0625,1.134147399,32,1.928571429,1.268814451,14,2.166666667,1.043185168,18
blockage,2.542857143,1.291211404,35,2.285714286,1.266647388,14,2.714285714,1.309307341,21
blockhead,3.428571429,1.501322169,28,3.352941176,1.497547014,17,3.545454545,1.572490786,11
bloke,3.8,1.186126701,30,3.230769231,1.535895296,13,4.235294118,0.562295715,17
blond,2.807692308,1.132050556,26,2.692307692,1.182131929,13,2.923076923,1.11516355,13
blonde,3.121212121,1.192622524,33,3.25,1.138180366,12,3.047619048,1.244033379,21
blood,1.7,0.794376789,30,1.5,0.836660027,6,1.75,0.793999233,24
bloodbath,1.612903226,1.022331302,31,1.588235294,1.003669737,17,1.692307692,1.109400392,13
bloodhound,1.972222222,0.970599553,36,1.875,1.024695077,16,2.05,0.944513241,20
bloodshed,1.619047619,0.669043382,21,1.666666667,0.651338947,12,1.555555556,0.726483157,9
bloodstream,2.130434783,0.93354035,46,1.947368421,0.848114524,19,2.259259259,0.984205755,27
bloom,2.818181818,1.236288434,33,3.222222222,0.971825316,9,2.666666667,1.307725096,24
bloomers,3.583333333,1.338976155,36,3.470588235,1.328422328,17,3.684210526,1.376494403,19
blossom,2.357142857,1.10036421,42,2.210526316,1.08417646,19,2.47826087,1.122884484,23
blotter,2.931034483,1.510227856,29,3.2,1.549193338,10,2.789473684,1.512134157,19
blouse,2.137931034,1.092969021,29,2.25,1.215431087,12,2.058823529,1.028991511,17
blow,2.594594595,1.212423181,37,2.8,1.361114095,20,2.352941176,0.996316746,17
blue,2.195121951,1.077485782,41,2.470588235,1.178857872,17,2.043478261,0.975996501,23
bluebird,2.230769231,1.142197612,26,2,1.224744871,13,2.461538462,1.050030525,13
